ACCOUNT_ID,COUNTRY,PRODUCT,MONTH,UNIT_SALES (in Million $),TOTAL_EXPENSE (in Million $),SALESFORCE_EXPENSE (in Million $),ADVERTISEMENT_EXPENSE (in Million $),DIGITAL_EXPENSE (in Million $)
376306,COUNTRY 1,Drug_2,8/1/2010,61.23168392,10.50727066,6.100165184,,3.46393342
376306,COUNTRY 1,Drug_2,9/1/2010,47.2868542,11.05501597,6.037500288,,3.83035177
376306,COUNTRY 1,Drug_2,10/1/2010,29.14318503,15.17947572,8.310196088,,5.591069923
376306,COUNTRY 1,Drug_2,11/1/2010,74.90923323,14.76405137,8.3480213,,5.254492376
376306,COUNTRY 1,Drug_2,12/1/2010,37.44114084,15.24934499,9.054046903,,5.889635948
376306,COUNTRY 1,Drug_2,1/1/2011,39.74300801,12.81869516,7.558917495,,5.013424358
376306,COUNTRY 1,Drug_2,2/1/2011,53.30212304,11.45521825,5.899767443,,4.232768586
376306,COUNTRY 1,Drug_2,3/1/2011,27.07650156,10.93200961,6.52949975,,3.831403325
376306,COUNTRY 1,Drug_2,4/1/2011,41.56923052,13.74732011,7.807452073,,4.77314274
376306,COUNTRY 1,Drug_2,5/1/2011,47.46812859,13.72612018,8.126433057,,5.032488438
376306,COUNTRY 1,Drug_2,6/1/2011,37.44114084,13.74654835,7.312724343,,5.111693957
376306,COUNTRY 1,Drug_2,7/1/2011,27.15141108,13.76443019,8.208550044,,4.696556868
376306,COUNTRY 1,Drug_2,8/1/2011,33.21745615,11.92638885,6.786939744,,4.720500783
376306,COUNTRY 1,Drug_2,9/1/2011,68.40542044,13.93760369,7.722149672,,5.219043566
376306,COUNTRY 1,Drug_2,10/1/2011,44.46236513,10.08013866,5.426423512,,3.299003298
376306,COUNTRY 1,Drug_2,11/1/2011,27.26748574,11.5739412,6.0412298,,4.293805176
376306,COUNTRY 1,Drug_2,12/1/2011,39.83448962,11.04680885,5.724083622,,4.116681666
376306,COUNTRY 1,Drug_2,1/1/2012,21.40454512,8.935189239,4.720080163,,3.415019154
376306,COUNTRY 1,Drug_2,2/1/2012,33.17967057,8.538634522,4.723825957,,2.928520463
376306,COUNTRY 1,Drug_2,3/1/2012,21.34153525,8.682243185,5.087385643,,3.331338814
376306,COUNTRY 1,Drug_2,4/1/2012,33.16315254,12.19228127,6.882254742,,4.169728224
376306,COUNTRY 1,Drug_2,5/1/2012,64.76918215,14.1938267,7.654004205,,5.200552838
376306,COUNTRY 1,Drug_2,6/1/2012,33.03009634,13.49566981,7.812307375,,4.868769475
376306,COUNTRY 1,Drug_2,7/1/2012,27.37570493,13.76413893,7.73100535,,5.422795507
